Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a Private Company,Is a Research Institution,Is a Medical Center,Academic Institute Type,Academic Areas
ALL INDIA INSTITUTE OF MEDICAL SCIENCES RISHIKESH,https://www.aiimsrishikesh.edu.in,"Rishikesh, Uttarakhand, India","AIIMS Rishikesh is another branch of the AIIMS network, providing advanced medical education, research, and clinical services.",2012,Medical Education and Research,Yes,No,Yes,Yes,Public,"Medicine, Biomedical Research"
AMBEDKAR NATIONAL INSTITUTE OF TECHNOLOGY B R,https://www.nitb.ac.in,"Jalandhar, Punjab, India","Also known as NIT Jalandhar, it is a premier engineering institute offering undergraduate and postgraduate programs in engineering and technology.",1987,Education,Yes,No,Yes,No,Public,"Engineering, Technology"
AMITY INTERNATIONAL SCHOOL,https://www.amity.edu/ais,"Multiple locations, India",Amity International Schools are a network of schools providing quality education from primary to senior levels with a focus on holistic development.,1995,Education,No,Yes,No,No,Private,"General Education, Holistic Development"
AMRITA VISHWA VIDYAPEETHAM,https://www.amrita.edu,"Coimbatore, Tamil Nadu, India","Amrita Vishwa Vidyapeetham is a private university offering a range of programs in engineering, management, medicine, and other disciplines with a focus on research and social outreach.",2003,Education,No,Yes,Yes,Yes,Private,"Engineering, Management, Medicine, Arts and Humanities"
ANHUI INFORMATION TECHNOLOGY INSTITUTE,http://www.ahit.edu.cn,"Hefei, Anhui, China","Anhui Information Technology Institute offers programs in information technology and related fields, focusing on technical education and research.",2004,Education,No,No,Yes,No,Public,"Information Technology, Computer Science"
ANIL NEERUKONDA TECHNOLOGY & SCIENCE INSTITUTE,https://www.anits.edu.in,"Visakhapatnam, Andhra Pradesh, India","ANITS provides undergraduate and postgraduate education in engineering and technology, emphasizing research and industry collaboration.",2001,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
ANYANG INSTITUTE OF TECHNOLOGY,http://www.ayit.edu.cn,"Anyang, Henan, China",Anyang Institute of Technology offers various programs in engineering and technology with a focus on applied sciences and research.,1992,Education,No,No,Yes,No,Public,"Engineering, Applied Sciences"
ARASU ENGINEERING COLLEGE,http://www.arasuenggcollege.com,"Kumbakonam, Tamil Nadu, India",Arasu Engineering College provides engineering education with a focus on research and development in various engineering fields.,2008,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
ARMED FORCES MEDICAL COLLEGE,https://www.afmc.nic.in,"Pune, Maharashtra, India",AFMC is a prestigious institution providing medical education and training to candidates for the Armed Forces. It is known for its rigorous academic and clinical training programs.,1962,Medical Education and Research,Yes,No,Yes,Yes,Public,"Medicine, Military Medicine"
ATAL BIHARI VAJPAYEE INDIAN INSTITUTE OF INFORMATION TECHNOLOGY & MANAGEMENT,http://www.iiitm.ac.in,"Gwalior, Madhya Pradesh, India",The Atal Bihari Vajpayee Indian Institute of Information Technology & Management specializes in IT and management education and research.,1997,Education,Yes,No,Yes,No,Public,"Information Technology, Management"
ATME COLLEGE OF ENGINEERING,http://www.atmece.edu.in,"Mysuru, Karnataka, India",ATME College of Engineering provides undergraduate and postgraduate education in engineering with an emphasis on research and industry collaboration.,2008,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
BABA FARID COLLEGE,http://www.babafarid.edu.in,"Bathinda, Punjab, India","Baba Farid College offers a range of programs in engineering, science, and technology, with a focus on academic excellence and research.",1993,Education,No,Yes,Yes,No,Private,"Engineering, Technology, Science"
BANNARI AMMAN INSTITUTE OF TECHNOLOGY,http://www.bannariamt.edu.in,"Sathyamangalam, Tamil Nadu, India","Bannari Amman Institute of Technology offers engineering and technology programs, focusing on innovation, research, and development in various technical fields.",1996,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
BASIC MEDICINE & CANCER CHINESE ACADEMY OF SCIENCES,http://www.cancer.ac.cn,"Beijing, China",The Basic Medicine and Cancer Division of the Chinese Academy of Sciences focuses on cancer research and basic medical sciences. It aims to advance understanding and treatment of cancer through research.,Not Available,Medical Research,Yes,No,Yes,No,Not Applicable,"Cancer Research, Basic Medical Sciences"
BAYLOR COLLEGE OF MEDICINE,https://www.bcm.edu,"Houston, Texas, USA","Baylor College of Medicine is a prestigious medical school that provides education, research, and clinical care. It focuses on advancing medical knowledge and healthcare delivery.",1900,Medical Education and Research,No,No,Yes,Yes,Private,"Medicine, Biomedical Research"
BEIJING INSTITUTE OF PETROCHEMICAL TECHNOLOGY,http://www.bipt.edu.cn,"Beijing, China","Beijing Institute of Petrochemical Technology specializes in petrochemical engineering and technology, offering education and research in this field.",1978,Education,No,No,Yes,No,Public,"Petrochemical Engineering, Chemical Engineering"
BEIJING INSTITUTE OF TECHNOLOGY,http://www.bit.edu.cn,"Beijing, China","Beijing Institute of Technology is a leading research university focusing on engineering, technology, and applied sciences. It emphasizes innovation and research.",1940,Education,No,No,Yes,No,Public,"Engineering, Technology, Applied Sciences"
BENGBU MEDICAL COLLEGE FIRST AFFILIATED HOSPITAL,http://www.bbmc.edu.cn,"Bengbu, Anhui, China",The First Affiliated Hospital of Bengbu Medical College provides medical services and is associated with Bengbu Medical College for education and research.,Not Available,Medical Care and Research,No,No,Yes,Yes,Not Applicable,"Medicine, Healthcare"
BHARATH HIGHER EDUCATION & RESEARCH INSTITUTE,http://www.bharathuniv.ac.in,"Chennai, Tamil Nadu, India","Bharath Institute of Higher Education and Research offers diverse programs in engineering, technology, and management, focusing on research and academic excellence.",1984,Education,No,Yes,Yes,No,Private,"Engineering, Technology, Management"
BHARATI VIDYAPEETH ENGINEERING COLLEGE,https://www.bvpie.edu.in,"Pune, Maharashtra, India","Bharati Vidyapeeth Engineering College offers a range of engineering programs with an emphasis on research, industry collaboration, and academic excellence.",1990,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
BIO EDUCATION LAB,http://www.bioeducationlab.com,Not Available,"Bio Education Lab provides educational resources and training in biological sciences and biotechnology, focusing on hands-on learning and research.",Not Available,Education,No,Yes,Yes,No,Not Applicable,"Biological Sciences, Biotechnology"
BIRLA INSTITUTE OF TECHNOLOGY & SCIENCE,https://www.bits-pilani.ac.in,"Pilani, Rajasthan, India","BITS Pilani is a leading private institute offering high-quality education in engineering, technology, and sciences, known for its research and innovation.",1964,Education,No,Yes,Yes,No,Private,"Engineering, Technology, Sciences"
BIRSA INSTITUTE OF TECHNOLOGY SINDRI,http://www.bit-sindri.ac.in,"Sindri, Jharkhand, India",BIT Sindri offers engineering and technology programs with a focus on research and development in various engineering disciplines.,1949,Education,Yes,No,Yes,No,Public,"Engineering, Technology"
BK MODY GOVERNMENT PHARMACY COLLEGE,http://www.bkmodypharmacycollege.edu.in,"Rajkot, Gujarat, India",BK Mody Government Pharmacy College provides pharmacy education and training with an emphasis on pharmaceutical sciences and research.,1996,Education,Yes,No,Yes,No,Public,"Pharmacy, Pharmaceutical Sciences"
BLUE BLOCKS COMPLETE SCHOOL,http://www.blueblocksschool.com,Not Available,"Blue Blocks Complete School offers a comprehensive education program from primary through secondary levels, focusing on holistic development and academic excellence.",Not Available,Education,No,Yes,No,No,Private,General Education
BOSTON COLLEGE,https://www.bc.edu,"Chestnut Hill, Massachusetts, USA",Boston College is a prestigious private research university offering a wide range of undergraduate and postgraduate programs with a focus on liberal arts and professional studies.,1863,Education,No,No,Yes,No,Private,"Liberal Arts, Business, Education, Law"
CALIFORNIA INSTITUTE OF TECHNOLOGY,https://www.caltech.edu,"Pasadena, California, USA","Caltech is a renowned private research university specializing in science and engineering, known for its cutting-edge research and innovation.",1891,Education,No,No,Yes,No,Private,"Science, Engineering"
CANCER HOSPITAL CHINESE ACADEMY OF MEDICAL SCIENCES,http://www.cancerhospital.com,"Beijing, China","The Cancer Hospital of the Chinese Academy of Medical Sciences is dedicated to cancer treatment, research, and education, with a focus on advanced oncology care.",Not Available,Medical Care and Research,Yes,No,Yes,Yes,Not Applicable,"Oncology, Medical Research"
CENT LILLE INSTITUTE,http://www.centlille.fr,"Lille, France","Cent Lille Institute focuses on research and education in various scientific and technical fields, offering a range of specialized programs.",Not Available,Education,No,No,Yes,No,Not Applicable,Various Scientific and Technical Fields
CHANDIGARH GROUP OF COLLEGES,http://www.cgccampus.com,"Chandigarh, India",Chandigarh Group of Colleges provides a variety of undergraduate and postgraduate programs with a focus on academic excellence and industry readiness.,2001,Education,No,Yes,Yes,No,Private,"Engineering, Technology, Management"
CHANGZHI MEDICAL COLLEGE AFFILIATED HOSPITAL,http://www.czhospital.com,"Changzhi, Shanxi, China",The affiliated hospital of Changzhi Medical College provides clinical services and supports medical education and research.,Not Available,Medical Care and Research,No,No,Yes,Yes,Not Applicable,"Medicine, Clinical Research"
CHANGZHOU INSTITUTE OF TECHNOLOGY,http://www.czit.edu.cn,"Changzhou, Jiangsu, China","Changzhou Institute of Technology specializes in engineering and technology education, offering programs that emphasize research and practical skills.",1978,Education,No,No,Yes,No,Public,"Engineering, Technology"
CHARITÃ - UNIVERSITÃTSMEDIZIN BERLIN,https://www.charite.de,"Berlin, Germany","CharitÃ© is one of Europe's largest university hospitals, focusing on patient care, medical research, and education. It is renowned for its comprehensive medical services and research initiatives.",1710,Medical Care and Research,Yes,No,Yes,Yes,Public,"Medicine, Biomedical Research"
CHINA ACADEMY OF INSPECTION & QUARANTINE,http://www.caiq.gov.cn,"Beijing, China","The China Academy of Inspection and Quarantine conducts research and provides services related to inspection, quarantine, and certification, focusing on improving food safety and product quality.",Not Available,Research and Certification,Yes,No,Yes,No,Not Applicable,"Inspection, Quarantine, Safety"
CHINA ACADEMY OF MILITARY MEDICAL SCIENCES (PLA),http://www.cams.cn,"Beijing, China","The China Academy of Military Medical Sciences focuses on research in military medicine, including biomedical research, military health, and medical technology development.",1958,Military Medical Research,Yes,No,Yes,No,Not Applicable,"Military Medicine, Biomedical Research"
CHINESE ACADEMY OF INSPECTION & QUARANTINE,http://www.caiq.gov.cn,"Beijing, China",This institution focuses on inspection and quarantine services to ensure product safety and quality. It is involved in research and certification processes for various industries.,Not Available,Research and Certification,Yes,No,Yes,No,Not Applicable,"Inspection, Quarantine"
CHINESE ACADEMY OF MEDICAL SCIENCES,http://www.cams.cn,"Beijing, China","The Chinese Academy of Medical Sciences conducts medical research, provides training, and supports advancements in medical science and healthcare.",1956,Medical Research,Yes,No,Yes,No,Not Applicable,"Medical Research, Health Sciences"
CHINESE ACADEMY OF SCIENCES,http://www.cas.cn,"Beijing, China","The Chinese Academy of Sciences is a major research institution in China, focusing on various scientific fields including physical sciences, life sciences, and technology.",1949,Research,Yes,No,Yes,No,Not Applicable,"Science, Technology, Engineering"
CHINESE ACADEMY OF SCIENCES - BASIC MEDICINE & CANCER,http://www.cancer.cas.cn,"Beijing, China","This division of the Chinese Academy of Sciences specializes in basic medicine and cancer research, aiming to advance understanding and treatment of cancer.",Not Available,Medical Research,Yes,No,Yes,No,Not Applicable,"Cancer Research, Basic Medicine"
CHINESE ACADEMY OF SCIENCES GUANGZHOU ADVANCED TECH,http://www.gzcas.ac.cn,"Guangzhou, China",The Guangzhou Advanced Technology Institute focuses on advanced technologies and research in various scientific fields.,Not Available,Research,Yes,No,Yes,No,Not Applicable,"Advanced Technology, Science"
CHINESE ACADEMY OF SCIENCES HEILONGJIANG RIVER FISH,http://www.hlfish.cas.cn,"Harbin, Heilongjiang, China",This institute focuses on research related to fish species in the Heilongjiang River and its environmental impact.,Not Available,Research,Yes,No,Yes,No,Not Applicable,"Ichthyology, Environmental Science"
CHINESE ACADEMY OF SCIENCES SHANGHAI MATERIA MEDICA,http://www.smmu.edu.cn,"Shanghai, China",The Shanghai Materia Medica Institute is dedicated to research in traditional Chinese medicine and pharmaceutical sciences.,Not Available,Medical Research,Yes,No,Yes,No,Not Applicable,"Materia Medica, Pharmaceutical Sciences"
CHINESE PEOPLES LIBERATION ARMY ACADEMY OF MILITARY MEDICINE,http://www.plaamc.cn,"Beijing, China","The Academy of Military Medicine focuses on military medical research, training, and development to support the People's Liberation Army.",1958,Military Medicine,Yes,No,Yes,No,Not Applicable,"Military Medicine, Medical Research"
CHINESE ACADEMY OF SCIENCES SHANGHAI MATERIA MEDICA,http://www.smmu.edu.cn,"Shanghai, China",This institute focuses on research in traditional Chinese medicine and related fields.,Not Available,Medical Research,Yes,No,Yes,No,Not Applicable,"Traditional Chinese Medicine, Pharmaceutical Sciences"
CHONGQING ACADEMY OF ANIMAL SCIENCES,http://www.cqaias.com,"Chongqing, China","Chongqing Academy of Animal Sciences conducts research in animal health, breeding, and genetics.",Not Available,Research,Yes,No,Yes,No,Not Applicable,"Animal Science, Veterinary Research"
CHONGQING INDUSTRY & TRADE POLYTECHNIC,http://www.cqit.edu.cn,"Chongqing, China",Chongqing Industry & Trade Polytechnic offers vocational and technical education in various industrial and trade fields.,2002,Education,No,No,No,No,Public,"Industry, Trade, Technology"
CHONGQING INDUSTRIAL POLYTECHNIC COLLEGE,http://www.cqipc.edu.cn,"Chongqing, China",Chongqing Industrial Polytechnic College provides technical and vocational education with a focus on industrial skills.,2002,Education,No,No,No,No,Public,"Industrial Technology, Vocational Training"
CHONGQING MEDICAL & PHARMACEUTICAL COLLEGE FIRST AFFILIATED,http://www.cqmp.edu.cn,"Chongqing, China","The First Affiliated College focuses on medical and pharmaceutical education and research, providing clinical services and training.",Not Available,Medical Education,No,No,Yes,Yes,Public,"Medicine, Pharmaceutical Sciences"
CMR ENGINEERING COLLEGE,http://www.cmrcet.ac.in,"Hyderabad, India",CMR Engineering College offers undergraduate and postgraduate programs in engineering and technology with a focus on research and industry collaboration.,1980,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
CMR TECHNOLOGY INSTITUTE,http://www.cmrit.ac.in,"Hyderabad, India","CMR Technology Institute provides education in engineering and technology, focusing on innovation and industry readiness.",1980,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
COIMBATORE INSTITUTE OF TECHNOLOGY,http://www.cit.edu.in,"Coimbatore, India","Coimbatore Institute of Technology is known for its engineering and technology programs, emphasizing research and development.",1956,Education,No,No,Yes,No,Public,"Engineering, Technology"
COLEGIO POSTGRADUADOS,http://www.colpos.mx,"Mexico City, Mexico","Colegio Postgraduados offers advanced degrees and research opportunities in various fields, including agricultural sciences and environmental studies.",1974,Education,Yes,No,Yes,No,Public,"Agricultural Sciences, Environmental Studies"
COLLEGE OF ENGINEERING,http://www.coe.edu,"Cedar Rapids, Iowa, USA","The College of Engineering offers undergraduate and graduate programs in engineering, emphasizing research and practical skills.",1883,Education,No,No,Yes,No,Private,"Engineering, Technology"
COLORADO SCHOOL OF MINES,https://www.mines.edu,"Golden, Colorado, USA","The Colorado School of Mines specializes in engineering and applied sciences, with a focus on mining and energy technologies.",1874,Education,No,No,Yes,No,Public,"Engineering, Earth Sciences"
COR JESU COLLEGE,http://www.corjesu.edu.ph,"Digos City, Philippines","Cor Jesu College provides a range of undergraduate and graduate programs, focusing on holistic education and community service.",1958,Education,No,No,No,No,Private,Various Fields
CVR COLLEGE OF ENGINEERING,http://www.cvr.edu.in,"Hyderabad, India",CVR College of Engineering offers engineering and technology programs with a focus on research and industry applications.,1985,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
DAEGU GYEONGBUK INSTITUTE OF SCIENCE & TECHNOLOGY,http://www.dgist.ac.kr,"Daegu, South Korea","DGIST focuses on research and education in science and technology, aiming to advance innovation and industry partnerships.",2004,Education,Yes,No,Yes,No,Public,"Science, Engineering"
DARTMOUTH COLLEGE,https://www.dartmouth.edu,"Hanover, New Hampshire, USA","Dartmouth College is a prestigious Ivy League university known for its rigorous academics, research, and commitment to liberal arts education.",1769,Education,No,No,Yes,No,Private,"Liberal Arts, Sciences, Engineering, Business"
DAYANANDA SAGAR COLLEGE OF ENGINEERING,http://www.dayanandasagar.edu,"Bangalore, India","Dayananda Sagar College of Engineering offers undergraduate and postgraduate programs in engineering and technology, emphasizing innovation and research.",1979,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
DON BOSCO TECHNOLOGY INSTITUTE,http://www.dbtech.edu.in,"Mumbai, India","Don Bosco Technology Institute provides technical education and training, focusing on skill development and industry collaboration.",2001,Education,No,Yes,No,No,Private,"Technology, Vocational Training"
DONGEUI INSTITUTE OF TECHNOLOGY,http://www.dong-eui.ac.kr,"Busan, South Korea","Dongeui Institute of Technology offers education and research opportunities in technology and engineering fields, focusing on innovation and practical skills.",1992,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
DY PATIL EDUCATION SOCIETY,http://www.dypatil.edu,"Navi Mumbai, India","DY Patil Education Society runs a network of educational institutions offering programs in various fields, including engineering, management, and medical sciences.",1984,Education,No,Yes,Yes,Yes,Private,"Engineering, Medicine, Management"
EASTERN VIRGINIA MEDICAL SCHOOL,https://www.evms.edu,"Norfolk, Virginia, USA","Eastern Virginia Medical School is focused on medical education and research, with an emphasis on community health and clinical practice.",1973,Medical Education,No,No,Yes,Yes,Public,"Medicine, Health Sciences"
ECOLE NATIONALE SUPERIEURE DE CHIMIE DE MONTPELLIER,http://www.en-sciences.com,"Montpellier, France","The Ecole Nationale Superieure de Chimie de Montpellier specializes in chemical sciences and engineering, offering advanced research and education in chemistry.",1888,Education,Yes,No,Yes,No,Public,"Chemistry, Chemical Engineering"
ECOLE NATIONALE VETERINAIRE DE MAISONS-ALFORT,http://www.vet-alfort.fr,"Maisons-Alfort, France","The Ecole Nationale Veterinaire de Maisons-Alfort provides veterinary education and research, focusing on animal health and veterinary sciences.",1765,Veterinary Education,Yes,No,Yes,No,Public,"Veterinary Medicine, Animal Health"
ECOLE NATIONALE VETERINAIRE DE TOULOUSE,http://www.envt.fr,"Toulouse, France","The Ecole Nationale Veterinaire de Toulouse focuses on veterinary education and research, particularly in animal health and veterinary sciences.",1825,Veterinary Education,Yes,No,Yes,No,Public,"Veterinary Medicine, Animal Health"
ECOLE NORMALE SUPERIEURE,http://www.ens.fr,"Paris, France","The Ecole Normale Superieure is one of France's most prestigious institutions for higher education and research, offering advanced programs in humanities and sciences.",1794,Education,Yes,No,Yes,No,Public,"Humanities, Sciences"
ECOLE NORMALE SUPERIEURE DE LYON,http://www.ens-lyon.fr,"Lyon, France","The Ecole Normale Superieure de Lyon offers advanced education and research opportunities in various disciplines, including humanities and sciences.",1880,Education,Yes,No,Yes,No,Public,"Humanities, Sciences"
ECOLE NORMALE SUPERIEURE PARIS,http://www.ens.fr,"Paris, France","The Ecole Normale Superieure Paris is renowned for its rigorous academic programs and research in various fields, including science and humanities.",1794,Education,Yes,No,Yes,No,Public,"Humanities, Sciences"
ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE,https://www.epfl.ch,"Lausanne, Switzerland","The Ãcole Polytechnique FÃ©dÃ©rale de Lausanne is a leading research university known for its focus on science and engineering, and its strong emphasis on innovation and interdisciplinary research.",1853,Education,Yes,No,Yes,No,Public,"Engineering, Science, Architecture"
ECOLE ROYALE NAVALE,http://www.ecole-navale.fr,"Brest, France","The Ãcole Royale Navale provides education and training for naval officers, focusing on maritime science, naval engineering, and military strategy.",1830,Military Education,Yes,No,Yes,No,Public,"Naval Science, Maritime Engineering"
"ECOLE SUPERIEURE DE CHIMIE, PHYSIQUE ET ELECTRONIQUE DE LYON",http://www.ecp.ens-lyon.fr,"Lyon, France","The Ãcole SupÃ©rieure de Chimie, Physique et Ãlectronique de Lyon offers education and research in chemical, physical, and electronic sciences.",1889,Education,Yes,No,Yes,No,Public,"Chemistry, Physics, Electronics"
ECOLE SUPERIEURE D'INDUSTRIE DU TEXTILE ET D'HABILLEMENT,http://www.esitex.fr,"Lyon, France","The Ãcole SupÃ©rieure d'Industrie du Textile et d'Habillement specializes in textile and apparel industry education, including research and development in textile engineering.",1952,Education,Yes,No,Yes,No,Public,"Textile Engineering, Apparel"
EDUCATIONAL FOUNDATION OTSUMA GAKUIN,http://www.otsuma.ac.jp,"Tokyo, Japan","Otsuma Gakuin provides a range of educational programs from undergraduate to graduate studies, emphasizing holistic and comprehensive education.",1951,Education,No,Yes,No,No,Private,Various Fields
EDWARD VIA COLLEGE OF OSTEOPATHIC MEDICINE,http://www.vcom.edu,"Blacksburg, Virginia, USA","Edward Via College of Osteopathic Medicine specializes in osteopathic medical education and research, focusing on healthcare and clinical practice.",2002,Medical Education,No,Yes,Yes,Yes,Private,Osteopathic Medicine
ENVA ECOLE NATIONALE VETERINAIRE D'ALFORT,http://www.env-alfort.fr,"Maisons-Alfort, France","ENVA focuses on veterinary education and research, particularly in animal health and veterinary sciences.",1765,Veterinary Education,Yes,No,Yes,No,Public,"Veterinary Medicine, Animal Health"
EPFL ÃCOLE POLYTECHNIQUE FÃDÃRALE DE LAUSANNE,https://www.epfl.ch,"Lausanne, Switzerland","EPFL is a leading research institution focusing on science and engineering, known for its innovation and interdisciplinary approach.",1853,Education,Yes,No,Yes,No,Public,"Engineering, Science"
FEDERAL STATE BUDGETARY EDUCATIONAL INSTITUTION,Not Available,Russia,"This term typically refers to various federal educational institutions funded by the state budget in Russia, providing a range of programs and research opportunities.",Not Available,Education,Yes,No,Yes,No,Public,Various Fields
FIRST AFFILIATED HOSPITAL CHENGDU MEDICAL COLLEGE,http://www.cdhospital.com,"Chengdu, China","The First Affiliated Hospital of Chengdu Medical College provides medical education, clinical services, and research in healthcare.",Not Available,Medical Education,No,No,Yes,Yes,Public,"Medicine, Clinical Research"
FRANCIS XAVIER ENGINEERING COLLEGE,http://www.franciszxavier.edu.in,"Tirunelveli, India","Francis Xavier Engineering College offers undergraduate and postgraduate programs in engineering and technology, focusing on research and development.",1994,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
FRANKLIN INSTITUTE,https://www.fi.edu,"Philadelphia, Pennsylvania, USA",The Franklin Institute is a science museum and a major educational and research institution focusing on scientific discovery and technology.,1824,Education,No,No,Yes,No,Private,"Science, Technology"
FUNDAÃÃO EDUCACIONAL CRICIÃMA,http://www.fundacaoeducacionalcriciuma.edu.br,"CriciÃºma, Brazil","FundaÃ§Ã£o Educacional CriciÃºma provides educational programs and services in various fields, emphasizing academic excellence and community engagement.",1965,Education,No,Yes,No,No,Private,Various Fields
G L BAJAJ TECHNOLOGY & MANAGEMENT INST,http://www.glbitm.org,"Greater Noida, India",G L Bajaj Technology & Management Institute offers undergraduate and postgraduate programs in engineering and management with a focus on research and development.,1997,Education,No,Yes,Yes,No,Private,"Engineering, Management"
G PULLAIAH COLLEGE ENG & TECHNOLOGY,http://www.gpcet.ac.in,"Kurnool, India","G Pullaiah College of Engineering and Technology provides education in engineering and technology, with a focus on innovation and practical skills.",1998,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
GEETHANJALI ENG & TECHNOLOGY COLLEGE,http://www.geethanjali.edu.in,"Hyderabad, India",Geethanjali Engineering and Technology College offers various undergraduate and postgraduate engineering programs with a focus on research and development.,1997,Education,No,Yes,Yes,No,Private,"Engineering, Technology"
